Job Titles,Company Names,Experience Required,Package,Locations,Skills,Role Type,Primary Location,Exp Min,Exp Max,Exp Category,Salary Disclosed
Manager - Digital Product Analytics [Data Science],Resy,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,Product managementCareer developmentOperations researchData modelingAnalyticalRelationship buildingMachine learningSQL,Data Science,Gurgaon,4,8,Mid Level (3-5 Yrs),Not Disclosed
Data Science Domain Manager,Coursera,7-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Computer scienceContent strategyData analysisUsagedata scienceArtificial IntelligenceMachine learningData analytics,Data Science,Kolkata,7,11,Senior (6-10 Yrs),Not Disclosed
GN - Strategy - MC - T&O - NLP Data Science - Analyst,Accenture,1-3 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Change managementSASCodingData miningPythonRstatistic techniquesDebugging,Data Science,Mumbai,1,3,Junior (1-2 Yrs),Not Disclosed
Data Science Manager,Foreign IT Consulting MNC,2-6 Yrs,Not disclosed,Gurgaon/Gurugram,Operations researchSASFinanceProject managementAnalyticalData processingmicrosoftEconometrics,Data Science,Gurgaon,2,6,Junior (1-2 Yrs),Not Disclosed
Data Science Manager,Foreign IT Consulting MNC,3-6 Yrs,Not disclosed,Noida,Data analysisEDCRisk assessmentrisk modelingMachine learningData processingmodel developmentFinancial services,Data Science,Noida,3,6,Mid Level (3-5 Yrs),Not Disclosed
"Analyst- Data Science (Python, Microsoft Power Apps)",AMERICAN EXPRESS,3-6 Yrs,Not disclosed,Gurgaon/Gurugram,Operations researchSASFinanceProject managementAnalyticalData processingmicrosoftEconometrics,Data Science,Gurgaon,3,6,Mid Level (3-5 Yrs),Not Disclosed
Data Science - Senior Data Scientist,Paytm,1-4 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Data Sciencedata analyticsSASData miningPythonRNLPMachine learning,Data Science,Mumbai,1,4,Junior (1-2 Yrs),Not Disclosed
Advance Analytical and Data Sciences -Manager,G R Infraprojects,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Supply chainOperations researchNoSQLdata sciencecassandraMachine learningMATLABSQL,Data Science,Bangalore,5,10,Mid Level (3-5 Yrs),Not Disclosed
Senior Analyst Data Science,Pepsi Foods,2-4 Yrs,Not disclosed,Faridabad,Cloud computingStatistical modelingExceldata scienceMachine learningcloud storagedigital transformationAnalytics,Data Science,Faridabad,2,4,Junior (1-2 Yrs),Not Disclosed
Head - Data Science & Business Analytics,Denave,2-5 Yrs,18-22.5 Lacs PA,Remote,Data ModelingPythonSQlDataData analysisScienceModelingData Science,Data Science,Remote,2,5,Junior (1-2 Yrs),Disclosed
