skill,role_type,exp_category,primary_location
Product management,Data Science,Mid Level (3-5 Yrs),Gurgaon
Career development,Data Science,Mid Level (3-5 Yrs),Gurgaon
Operations research,Data Science,Mid Level (3-5 Yrs),Gurgaon
Data modeling,Data Science,Mid Level (3-5 Yrs),Gurgaon
Data Analysis,Data Science,Mid Level (3-5 Yrs),Gurgaon
Relationship building,Data Science,Mid Level (3-5 Yrs),Gurgaon
Machine Learning,Data Science,Mid Level (3-5 Yrs),Gurgaon
SQL,Data Science,Mid Level (3-5 Yrs),Gurgaon
Computer science,Data Science,Senior (6-10 Yrs),Kolkata
Content strategy,Data Science,Senior (6-10 Yrs),Kolkata
Data Analysis,Data Science,Senior (6-10 Yrs),Kolkata
Usagedata science,Data Science,Senior (6-10 Yrs),Kolkata
Artificial Intelligence,Data Science,Senior (6-10 Yrs),Kolkata
Machine Learning,Data Science,Senior (6-10 Yrs),Kolkata
Data Analysis,Data Science,Senior (6-10 Yrs),Kolkata
Change management,Data Science,Junior (1-2 Yrs),Mumbai
SASCoding,Data Science,Junior (1-2 Yrs),Mumbai
Data mining,Data Science,Junior (1-2 Yrs),Mumbai
Python,Data Science,Junior (1-2 Yrs),Mumbai
Rstatistic techniques,Data Science,Junior (1-2 Yrs),Mumbai
Debugging,Data Science,Junior (1-2 Yrs),Mumbai
Operations research,Data Science,Junior (1-2 Yrs),Gurgaon
SASFinance,Data Science,Junior (1-2 Yrs),Gurgaon
Project Management,Data Science,Junior (1-2 Yrs),Gurgaon
Data Analysis,Data Science,Junior (1-2 Yrs),Gurgaon
Data processingmicrosoft,Data Science,Junior (1-2 Yrs),Gurgaon
Econometrics,Data Science,Junior (1-2 Yrs),Gurgaon
Data Analysis,Data Science,Mid Level (3-5 Yrs),Noida
EDCRisk assessmentrisk modeling,Data Science,Mid Level (3-5 Yrs),Noida
Machine Learning,Data Science,Mid Level (3-5 Yrs),Noida
Data processingmodel development,Data Science,Mid Level (3-5 Yrs),Noida
Financial services,Data Science,Mid Level (3-5 Yrs),Noida
Operations research,Data Science,Mid Level (3-5 Yrs),Gurgaon
SASFinance,Data Science,Mid Level (3-5 Yrs),Gurgaon
Project Management,Data Science,Mid Level (3-5 Yrs),Gurgaon
Data Analysis,Data Science,Mid Level (3-5 Yrs),Gurgaon
Data processingmicrosoft,Data Science,Mid Level (3-5 Yrs),Gurgaon
Econometrics,Data Science,Mid Level (3-5 Yrs),Gurgaon
Data Sciencedata analytics,Data Science,Junior (1-2 Yrs),Mumbai
SASData mining,Data Science,Junior (1-2 Yrs),Mumbai
Python,Data Science,Junior (1-2 Yrs),Mumbai
RNLPMachine learning,Data Science,Junior (1-2 Yrs),Mumbai
Supply chain,Data Science,Mid Level (3-5 Yrs),Bangalore
Operations research,Data Science,Mid Level (3-5 Yrs),Bangalore
SQLdata sciencecassandra,Data Science,Mid Level (3-5 Yrs),Bangalore
Machine Learning,Data Science,Mid Level (3-5 Yrs),Bangalore
MATLABSQL,Data Science,Mid Level (3-5 Yrs),Bangalore
Cloud computing,Data Science,Junior (1-2 Yrs),Faridabad
Statistical modeling,Data Science,Junior (1-2 Yrs),Faridabad
Exceldata science,Data Science,Junior (1-2 Yrs),Faridabad
Machine learningcloud storagedigital transformation,Data Science,Junior (1-2 Yrs),Faridabad
Data Analysis,Data Science,Junior (1-2 Yrs),Faridabad
Data Modeling,Data Science,Junior (1-2 Yrs),Remote
Python,Data Science,Junior (1-2 Yrs),Remote
SQl,Data Science,Junior (1-2 Yrs),Remote
Data Analysis,Data Science,Junior (1-2 Yrs),Remote
Modeling,Data Science,Junior (1-2 Yrs),Remote
Data Science,Data Science,Junior (1-2 Yrs),Remote
Machine Learning Algorithms,Data Science,Junior (1-2 Yrs),Hybrid - Hyderabad
Regression Modeling,Data Science,Junior (1-2 Yrs),Hybrid - Hyderabad
Python Development,Data Science,Junior (1-2 Yrs),Hybrid - Hyderabad
Python,Data Science,Junior (1-2 Yrs),Hybrid - Hyderabad
Algorithms,Data Science,Junior (1-2 Yrs),Hybrid - Hyderabad
Machine Learning,Data Science,Junior (1-2 Yrs),Hybrid - Hyderabad
Machine,Data Science,Junior (1-2 Yrs),Hybrid - Hyderabad
DATA SCIENCEPYTHON PROGRAMMINGArtificial Intelligence,Data Science,Fresher (0 Yrs),Lucknow
NLP,Data Science,Fresher (0 Yrs),Lucknow
Machine Learning,Data Science,Fresher (0 Yrs),Lucknow
Deep Learning,Data Science,Fresher (0 Yrs),Lucknow
Intelligence,Data Science,Fresher (0 Yrs),Lucknow
Program,Data Science,Fresher (0 Yrs),Lucknow
Statistical programming,Data Science,Junior (1-2 Yrs),Noida
Data Analysis,Data Science,Junior (1-2 Yrs),Noida
SAS Rclinical development,Data Science,Junior (1-2 Yrs),Noida
Programming,Data Science,Junior (1-2 Yrs),Noida
SAS Programming,Data Science,Junior (1-2 Yrs),Noida
Troubleshooting,Data Science,Junior (1-2 Yrs),Noida
Oracle,Data Science,Junior (1-2 Yrs),Noida
Data analysisdata science,Data Science,Mid Level (3-5 Yrs),Mumbai
Data Analysis,Data Science,Mid Level (3-5 Yrs),Mumbai
Machine Learning,Data Science,Mid Level (3-5 Yrs),Mumbai
HTMLMonitoring,Data Science,Mid Level (3-5 Yrs),Mumbai
Financial services,Data Science,Mid Level (3-5 Yrs),Mumbai
SQL,Data Science,Mid Level (3-5 Yrs),Mumbai
Data analysisdata science,Data Science,Mid Level (3-5 Yrs),Hyderabad
SASAnalytical,Data Science,Mid Level (3-5 Yrs),Hyderabad
Machine Learning,Data Science,Mid Level (3-5 Yrs),Hyderabad
Information management,Data Science,Mid Level (3-5 Yrs),Hyderabad
SQLPython,Data Science,Mid Level (3-5 Yrs),Hyderabad
Data Science,Data Science,Junior (1-2 Yrs),Bangalore
SQLArtificial Intelligence,Data Science,Junior (1-2 Yrs),Bangalore
NLP,Data Science,Junior (1-2 Yrs),Bangalore
Data Analysis,Data Science,Junior (1-2 Yrs),Bangalore
Aiml,Data Science,Junior (1-2 Yrs),Bangalore
Tableau,Data Science,Junior (1-2 Yrs),Bangalore
Machine Learning,Data Science,Junior (1-2 Yrs),Bangalore
data scientistimage processingdata label,Data Science,Senior (6-10 Yrs),Noida(Sector-126 Noida)
NLP,Data Science,Senior (6-10 Yrs),Noida(Sector-126 Noida)
Large language modelling,Data Science,Senior (6-10 Yrs),Noida(Sector-126 Noida)
AILLMMachine Learning,Data Science,Senior (6-10 Yrs),Noida(Sector-126 Noida)
Data Sciencepython,Data Science,Expert (10+ Yrs),Hybrid - Bangalore
Torch,Data Science,Expert (10+ Yrs),Hybrid - Bangalore
Machine Learning,Data Science,Expert (10+ Yrs),Hybrid - Bangalore
Large language Management,Data Science,Expert (10+ Yrs),Hybrid - Bangalore
Tensor,Data Science,Expert (10+ Yrs),Hybrid - Bangalore
Flow,Data Science,Expert (10+ Yrs),Hybrid - Bangalore
Languages,Data Science,Expert (10+ Yrs),Hybrid - Bangalore
Computer science,Data Science,Mid Level (3-5 Yrs),Delhi / NCR
Computer vision,Data Science,Mid Level (3-5 Yrs),Delhi / NCR
SANImage processing,Data Science,Mid Level (3-5 Yrs),Delhi / NCR
SOCMachine learning,Data Science,Mid Level (3-5 Yrs),Delhi / NCR
SMSSignal processing,Data Science,Mid Level (3-5 Yrs),Delhi / NCR
Data Science,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Mart,Data Science,Mid Level (3-5 Yrs),Bangalore
Artificial Intelligence,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Curation,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Mining,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Visualization,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Analysis,Data Science,Mid Level (3-5 Yrs),Bangalore
Machine Learning,Data Science,Mid Level (3-5 Yrs),Bangalore
Data Science,Data Science,Senior (6-10 Yrs),Remote
Data Analysis,Data Science,Senior (6-10 Yrs),Remote
Core,Data Science,Senior (6-10 Yrs),Remote
NLPProject management,Data Science,Senior (6-10 Yrs),Remote
SQLOpen source,Data Science,Senior (6-10 Yrs),Remote
SQLPython,Data Science,Senior (6-10 Yrs),Remote
Cluster analysisdeep learningorchestration,Data Science,Expert (10+ Yrs),Mumbai
GCPMachine learning,Data Science,Expert (10+ Yrs),Mumbai
Process quality,Data Science,Expert (10+ Yrs),Mumbai
Data Analysis,Data Science,Expert (10+ Yrs),Mumbai
AWS,Data Science,Expert (10+ Yrs),Mumbai
